Shelf,Item,Color,FFTime,FFUse,FFDTime,FFDUse,SATime,SAUse,PSTime,PSUse,GATime,GAUse
500,300,2,5,91.36,10,93.32,210,96.06,8933,95.36,7153,93.99
500,300,2,2,90.18,2,95.85,87,95.19,9217,94.53,7112,93.88
500,300,2,1,91.10,2,92.35,84,95.65,8977,94.97,7155,94.30
500,300,2,0,91.57,1,95.64,81,96.35,9357,95.64,6844,94.93
500,300,2,0,91.26,0,91.89,88,95.17,8788,95.17,6585,94.50
500,300,7,0,92.03,0,97.18,75,95.84,8007,95.18,6242,94.53
500,300,7,0,93.32,0,97.38,73,95.99,8002,95.99,6207,95.99
500,300,7,0,92.59,0,98.81,70,95.95,8112,95.95,6297,95.95
500,300,7,0,92.58,0,96.46,77,95.13,8146,95.13,6236,93.84
500,300,7,0,90.30,0,97.50,77,95.42,8018,94.75,6231,94.75
500,300,15,0,90.81,0,98.15,74,96.03,7820,96.03,6084,95.35
500,300,15,0,93.95,1,99.01,67,96.77,7756,96.77,6210,96.05
500,300,15,0,93.38,0,97.89,75,95.26,8304,95.26,6805,94.00
500,300,15,0,93.14,0,98.58,74,96.47,7920,95.79,6058,96.47
500,300,15,0,93.53,0,99.03,71,96.89,7941,96.20,6188,95.52
500,500,2,0,90.23,0,93.16,208,95.10,17593,94.31,14440,93.93
500,500,2,0,91.36,0,96.39,213,95.98,17715,95.18,13878,95.18
500,500,2,0,92.72,0,86.92,209,95.92,17838,95.10,14452,94.69
500,500,2,0,91.25,0,91.63,204,95.20,17696,94.38,14277,93.58
500,500,2,0,90.82,0,96.64,199,95.82,17228,94.62,14156,94.62
500,500,7,0,95.27,0,98.60,214,96.49,16192,96.49,13137,96.08
500,500,7,0,93.57,0,98.88,180,96.36,16058,96.36,13175,95.95
500,500,7,0,95.35,0,98.29,178,96.17,15938,96.17,13130,96.17
500,500,7,1,93.33,0,98.99,191,96.49,16112,96.08,13112,95.68
500,500,7,0,94.29,0,98.88,209,96.74,16454,96.33,13002,95.91
500,500,15,0,92.89,1,98.94,185,96.84,16082,96.02,12892,95.62
500,500,15,0,91.78,0,95.57,199,94.78,16616,94.40,13026,94.01
500,500,15,0,93.23,0,98.95,179,96.42,15968,96.42,13161,96.01
500,500,15,0,94.08,0,98.70,175,96.13,15642,96.55,13471,96.13
500,500,15,0,93.84,0,98.78,181,96.25,15948,96.66,13091,96.25
750,300,2,0,89.38,0,86.44,86,94.52,8895,93.85,6786,92.52
750,300,2,0,91.27,0,95.70,82,94.39,8579,94.39,6753,93.75
750,300,2,0,87.82,1,92.47,81,93.71,8802,93.09,6676,92.47
750,300,2,0,89.77,0,89.18,87,92.85,8879,92.21,6775,91.59
750,300,2,0,91.14,0,92.41,80,95.73,8576,95.05,6658,94.37
750,300,7,0,92.49,0,97.93,73,95.82,8043,95.82,6373,95.82
750,300,7,0,90.22,0,97.21,82,95.86,8121,95.20,6327,95.20
750,300,7,0,92.54,0,97.87,71,96.48,8099,95.80,6264,95.13
750,300,7,0,93.40,0,98.20,72,96.78,7971,96.08,6177,96.08
750,300,7,0,93.66,0,97.80,71,96.38,7937,96.38,6227,96.38
750,300,15,0,93.60,0,98.94,73,96.20,8188,96.20,6382,95.53
750,300,15,0,93.52,0,98.95,76,96.16,7897,96.16,6212,95.49
750,300,15,0,92.19,0,98.77,80,96.70,8030,96.03,6198,96.03
750,300,15,0,93.85,0,97.32,75,96.61,7802,96.61,6141,95.90
750,300,15,0,92.34,0,99.13,72,95.61,7883,96.29,6130,95.61
750,500,2,0,90.75,0,94.52,227,94.91,17662,94.13,14221,93.35
750,500,2,1,89.59,0,91.42,199,96.15,17507,95.33,13867,95.33
750,500,2,2,92.55,0,92.55,213,95.68,17858,95.28,14212,94.88
750,500,2,0,93.38,0,97.06,205,95.80,17116,95.80,13883,94.98
750,500,2,0,91.58,0,92.69,202,96.20,17582,95.00,14035,94.61
750,500,7,1,93.93,0,98.99,176,96.39,15846,96.39,12873,95.97
750,500,7,0,93.12,0,98.32,199,96.25,16319,96.25,13245,95.85
750,500,7,0,92.63,0,98.89,213,96.45,16739,96.05,13559,95.66
750,500,7,0,94.02,0,99.02,202,96.46,16256,96.46,13116,96.04
750,500,7,1,93.42,0,99.16,192,96.62,16197,96.62,13007,96.62
750,500,15,0,95.18,0,98.09,208,96.41,15890,96.41,13103,96.41
750,500,15,0,94.02,0,98.90,184,96.40,16291,96.40,14479,95.99
750,500,15,0,93.42,0,99.20,184,96.22,15979,96.22,12962,96.22
750,500,15,0,92.73,0,99.30,178,96.31,15925,96.31,13132,95.90
750,500,15,0,93.10,1,97.44,187,96.62,16115,95.81,13426,95.41
1000,300,2,0,89.26,0,95.55,86,94.88,8950,93.57,6624,92.93
1000,300,2,0,91.14,0,95.63,80,94.97,8699,94.97,6724,94.31
1000,300,2,0,90.48,0,96.17,81,94.84,8707,94.19,6649,94.19
1000,300,2,0,90.92,0,96.90,82,95.50,8656,94.82,6664,94.82
1000,300,2,0,89.19,0,96.73,85,94.73,8745,94.08,6751,92.81
1000,300,7,0,91.51,0,97.31,74,95.96,8080,94.64,6314,94.64
1000,300,7,0,92.02,0,97.94,71,96.56,7897,95.88,6337,95.21
